playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,POS,obp,slg,ops+,salary
abramcj01,2024,1,WAS,NL,138,138,541,79,133,29,6,20,65,31,12,40,128,3,16,1,4,4,0,SS,0.3144758735440932,0.43253234750462105,132.0492427974715,3953445
abreujo02,2024,1,HOU,AL,35,35,113,10,14,2,0,2,7,0,0,4,28,0,2,0,1,4,0,1B,0.16666666666666666,0.19469026548672566,13.154043809727112,11877639
abreuwi02,2024,1,BOS,AL,132,132,399,59,101,33,2,15,58,8,3,40,125,0,3,0,5,7,0,OF,0.3221476510067114,0.45864661654135336,142.13775931175624,20452153
acunalu01,2024,1,NYN,NL,14,14,39,6,12,2,1,3,6,0,1,1,6,0,0,0,0,1,0,SS,0.325,0.6410256410256411,195.01381967592968,20592654
acunaro01,2024,1,ATL,NL,49,49,192,38,48,8,1,4,15,16,3,27,53,0,3,0,0,4,0,OF,0.35135135135135137,0.3645833333333333,125.49794998824319,29688478
adamewi01,2024,1,MIL,NL,161,161,610,93,153,33,0,32,112,21,4,74,173,3,1,0,3,12,0,SS,0.3313953488372093,0.46229508196721314,146.38086313970638,23590394
adamsjo03,2024,1,LAA,AL,11,11,35,4,8,0,0,1,4,2,0,3,12,0,0,0,0,1,0,OF,0.2894736842105263,0.3142857142857143,89.74230006758783,24899864
adamsri03,2024,1,WAS,NL,41,41,116,10,26,5,1,2,8,1,0,10,35,1,2,0,2,4,0,C,0.2923076923076923,0.33620689655172414,96.96117588100574,15552485
adelljo01,2024,1,LAA,AL,130,130,405,54,84,15,2,20,62,15,10,35,126,1,7,0,3,9,0,OF,0.28,0.4024691358024691,111.54737209002063,37982973
adriaeh01,2024,1,LAA,AL,8,8,26,4,5,1,0,1,2,0,0,2,11,0,0,0,0,1,0,3B,0.25,0.34615384615384615,85.12795699673354,4739913
ahmedni01,2024,2,LAN,NL,17,17,48,6,11,0,0,1,2,1,0,1,14,0,0,0,0,0,0,SS,0.24489795918367346,0.2916666666666667,67.85787548987389,38150589
ahmedni01,2024,3,SDN,NL,2,2,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,SS,0.14285714285714285,0.14285714285714285,-9.844659927,35791552
ahmedni01,2024,1,SFN,NL,52,52,155,13,36,6,1,1,15,1,1,10,35,0,1,3,3,6,0,SS,0.2781065088757396,0.3032258064516129,82.65603786063285,33553429
albieoz01,2024,1,ATL,NL,99,99,399,52,100,29,1,10,53,8,1,27,65,0,5,0,4,6,0,2B,0.30344827586206896,0.40350877192982454,119.96994522492548,6297902
alcanke01,2024,1,CHN,NL,3,3,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OF,0.1,0.1,-36.89126195,14371587
alexabl01,2024,1,ARI,NL,61,61,166,19,41,7,0,3,21,3,1,15,49,0,3,1,0,1,0,SS,0.32065217391304346,0.3433734939759036,108.82383701358292,18246004
alexacj01,2024,1,KCA,AL,4,4,8,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3B,0.125,0.125,-21.11407744,2665796
allenni02,2024,1,OAK,AL,41,41,97,6,17,4,0,1,4,0,0,5,20,0,0,3,0,0,0,SS,0.21568627450980393,0.24742268041237114,45.14600656242178,5951807
alonspe01,2024,1,NYN,NL,162,162,608,91,146,31,0,34,88,3,0,70,172,4,13,0,4,14,0,1B,0.3294964028776978,0.4588815789473684,144.7515654276903,9394639
altuvjo01,2024,1,HOU,AL,153,153,628,94,185,31,0,20,65,22,7,47,119,2,7,0,0,15,0,2B,0.35043988269794724,0.4394904458598726,146.49339014399663,20342561
alvarar01,2024,1,OAK,AL,16,16,37,7,9,1,0,0,2,1,0,2,8,0,0,0,0,1,0,3B,0.28205128205128205,0.2702702702702703,74.64726492662577,16638788
alvared01,2024,1,NYN,NL,13,12,9,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2B,0.18181818181818182,0,-36.98476053,21196617
alvarfr01,2024,1,NYN,NL,100,100,308,39,73,14,2,11,47,1,1,30,86,0,2,0,2,7,0,C,0.30701754385964913,0.4025974025974026,120.94770792898957,31486382
alvarna01,2024,1,ATL,NL,8,8,30,1,3,0,0,0,0,0,0,0,10,0,2,0,0,1,0,2B,0.15625,0.1,-17.39592224,22380391
alvaryo01,2024,1,HOU,AL,147,147,552,88,170,34,2,35,86,6,0,69,95,16,10,0,4,14,0,OF,0.3921259842519685,0.5670289855072463,197.22628734495834,15200946
amadoad01,2024,1,COL,NL,10,10,35,1,6,1,0,0,0,1,0,1,6,0,0,0,0,1,0,2B,0.19444444444444445,0.2,24.292010451623835,39008441
amayaja01,2024,2,CHA,AL,23,23,67,4,12,1,0,0,3,1,0,4,28,0,0,0,0,3,0,SS,0.22535211267605634,0.19402985074626866,33.305579347121615,12665079
amayaja01,2024,1,HOU,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SS,0,0,-100,14613470
amayami01,2024,1,CHN,NL,117,117,328,32,76,13,2,8,47,0,0,23,62,0,4,5,3,5,0,C,0.2877094972067039,0.3567073170731707,101.19995856163851,2436204
anderbr06,2024,1,ATL,NL,3,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,OF,0,0,-100,12843613
anderti01,2024,1,MIA,NL,65,65,234,16,50,3,0,0,9,4,4,7,68,0,0,0,0,6,0,SS,0.23651452282157676,0.2264957264957265,46.410947403975534,6654049
andujmi01,2024,1,OAK,AL,75,75,302,31,86,14,1,4,30,3,2,13,42,0,3,0,1,10,0,OF,0.31974921630094044,0.37748344370860926,118.2152887654365,2319478
arandjo01,2024,1,TBA,AL,44,44,128,22,30,7,0,6,14,0,0,12,32,0,2,0,1,2,0,1B,0.3076923076923077,0.4296875,128.8887993987048,16744086
