yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2024,AL,LAA,ANA,W,5,162,81.0,63,99,N,N,N,N,635,5357,1227,227,15,165,482,1416.0,133.0,50.0,86.0,35.0,797,726,4.57,0,7,35,4293,1328,202,601,1252,97,152,0.983,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,2577597.0,102,104,LAA,ANA,ANA
2024,NL,ARI,ARI,W,3,162,81.0,89,73,N,N,N,N,886,5522,1452,271,37,211,569,1265.0,119.0,30.0,84.0,66.0,788,742,4.63,0,10,38,4330,1468,181,481,1313,62,138,0.989,Arizona Diamondbacks,Chase Field,2341876.0,101,101,ARI,ARI,ARI
2024,NL,ATL,ATL,E,2,162,81.0,89,73,N,Y,N,N,704,5481,1333,273,15,213,485,1461.0,69.0,20.0,58.0,39.0,607,559,3.49,2,17,40,4330,1277,150,449,1553,68,131,0.988,Atlanta Braves,Truist Park,3011755.0,102,101,ATL,ATL,ATL
2024,AL,BAL,BAL,E,2,162,81.0,91,71,N,Y,N,N,786,5567,1391,262,33,235,489,1359.0,98.0,25.0,64.0,45.0,699,632,3.94,0,9,46,4326,1303,175,481,1380,81,100,0.986,Baltimore Orioles,Oriole Park at Camden Yards,2281129.0,95,94,BAL,BAL,BAL
2024,AL,BOS,BOS,E,3,162,81.0,81,81,N,N,N,N,751,5577,1404,311,30,194,493,1570.0,144.0,44.0,73.0,40.0,747,654,4.05,1,13,40,4358,1363,189,461,1353,115,117,0.981,Boston Red Sox,Fenway Park,2659949.0,104,104,BOS,BOS,BOS
2024,NL,CHN,CHC,C,3,162,81.0,83,79,N,N,N,N,736,5441,1318,253,29,170,546,1362.0,143.0,30.0,70.0,41.0,669,603,3.79,1,11,38,4297,1302,181,485,1348,76,91,0.987,Chicago Cubs,Wrigley Field,2909794.0,97,96,CHC,CHN,CHN
2024,AL,CHA,CHW,C,5,162,81.0,41,121,N,N,N,N,507,5383,1187,226,9,133,395,1403.0,90.0,33.0,43.0,27.0,813,737,4.67,0,7,21,4260,1397,201,643,1366,90,115,0.984,Chicago White Sox,Guaranteed Rate Field,1380733.0,101,103,CHW,CHA,CHA
2024,NL,CIN,CIN,C,4,162,81.0,77,85,N,N,N,N,699,5325,1230,257,29,174,496,1459.0,207.0,45.0,87.0,43.0,694,649,4.09,1,8,36,4284,1302,196,487,1370,96,100,0.983,Cincinnati Reds,Great American Ballpark,2024178.0,107,107,CIN,CIN,CIN
2024,AL,CLE,CLE,C,1,161,80.0,92,69,Y,N,N,N,708,5310,1263,245,18,185,466,1196.0,148.0,46.0,87.0,43.0,621,572,3.61,0,12,53,4284,1224,179,492,1410,87,130,0.985,Cleveland Guardians,Progressive Field,2056264.0,101,100,CLE,CLE,CLE
2024,NL,COL,COL,W,5,162,81.0,61,101,N,N,N,N,682,5454,1319,277,25,179,453,1617.0,85.0,31.0,51.0,45.0,929,869,5.48,0,1,37,4280,1604,221,563,1118,82,164,0.986,Colorado Rockies,Coors Field,2540195.0,110,113,COL,COL,COL
