playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,fip,fip-,POS,salary,throws
abbotan01,2024,1,CIN,NL,10,10,25,25,0,0,0,414,127,57,25,52,114,0.24,3.72,1.0,5,2.0,0,586.0,0,60,1.0,2.0,6.0,4.976811594202898,102.42769543421036,SP,1503778,L
abreubr01,2024,1,HOU,AL,3,3,78,0,0,0,1,235,59,27,9,32,103,0.207,3.1,0.0,4,6.0,1,325.0,3,27,1.0,1.0,5.0,3.4191489361702128,70.36946029586208,RP,8916393,R
adamja01,2024,2,SDN,NL,3,0,27,0,0,0,0,80,14,3,1,7,31,0.152,1.01,1.0,2,3.0,1,102.0,1,3,0.0,0.0,2.0,2.3875,49.137106804290134,RP,7596155,R
adamja01,2024,1,TBA,AL,4,2,47,0,0,0,4,141,26,13,4,16,50,0.164,2.49,3.0,0,3.0,0,180.0,9,17,0.0,2.0,3.0,3.2914893617021277,67.74210023503338,RP,5666079,R
adamsau02,2024,1,OAK,AL,1,2,56,0,0,0,0,124,38,18,4,23,53,0.25,3.92,2.0,6,13.0,0,191.0,6,20,1.0,2.0,3.0,4.406451612903226,90.68912399210987,RP,8618676,R
adcocty01,2024,1,NYN,NL,0,0,3,0,0,0,0,13,7,7,4,2,3,0.368,14.54,0.0,0,0.0,0,21.0,1,7,0.0,0.0,1.0,15.1,310.77290586168834,RP,1639832,R
adonjo01,2024,1,WAS,NL,0,0,8,1,0,0,0,32,12,8,2,4,6,0.293,6.75,0.0,0,1.0,0,48.0,5,8,1.0,1.0,1.0,5.81875,119.7556189392516,RP,1288702,R
aguiaju01,2024,1,CIN,NL,2,1,7,7,0,0,0,95,30,22,8,12,19,0.244,6.25,1.0,1,5.0,0,140.0,0,22,0.0,0.0,4.0,6.794736842105263,139.84239158851156,SP,7403839,R
akinke01,2024,1,BAL,AL,3,1,66,0,0,0,1,236,55,29,9,19,97,0.193,3.32,1.0,4,2.0,0,313.0,21,31,2.0,5.0,2.0,2.922033898305085,60.1383420928893,RP,5536911,L
alcaljo01,2024,1,MIN,AL,4,3,54,0,0,0,0,175,40,21,8,20,58,0.19,3.24,1.0,4,3.0,0,235.0,5,23,0.0,1.0,1.0,4.077142857142857,83.91162472367631,RP,6368807,R
aldegsa01,2024,1,LAA,AL,1,2,3,3,0,0,0,39,15,7,2,10,10,0.283,4.85,0.0,2,2.0,0,67.0,0,12,0.0,2.0,0.0,6.330769230769231,130.29348014476287,SP,9483841,L
alexasc01,2024,1,OAK,AL,1,3,45,0,0,0,0,116,31,11,3,15,31,0.223,2.56,7.0,2,2.0,0,160.0,9,14,2.0,2.0,4.0,3.8241379310344827,78.70453359228416,RP,9903620,L
alexaty01,2024,1,TBA,AL,6,5,23,9,0,0,0,323,110,61,23,24,90,0.263,5.1,1.0,0,5.0,0,455.0,1,61,2.0,5.0,5.0,5.013312693498452,103.1789240895233,RP,3981661,L
allarko01,2024,1,PHI,NL,2,0,7,4,0,0,0,81,34,15,5,8,23,0.312,5.0,0.0,0,0.0,0,117.0,0,15,0.0,0.0,4.0,4.692592592592593,96.57818781622741,SP,9227005,L
allenlo01,2024,1,ARI,NL,0,1,12,0,0,0,1,84,32,17,3,10,21,0.281,5.46,0.0,0,2.0,0,128.0,4,17,0.0,2.0,0.0,4.2785714285714285,88.05722356251245,RP,4402470,L
allenlo02,2024,1,CLE,AL,8,5,20,20,0,0,0,292,113,62,22,41,79,0.295,5.73,0.0,4,4.0,0,432.0,0,63,1.0,3.0,14.0,5.802054794520548,119.4120151299266,SP,9711645,L
almonye01,2024,1,CHN,NL,1,0,17,0,0,0,1,47,9,6,1,8,20,0.161,3.45,1.0,1,2.0,0,67.0,2,7,0.0,1.0,0.0,3.2914893617021277,67.74210023503338,RP,5754279,R
altavda01,2024,1,KCA,AL,0,1,5,1,0,0,0,11,5,6,1,3,5,0.294,14.73,0.0,0,1.0,0,21.0,0,6,0.0,0.0,0.0,7.190909090909091,147.9960075476192,RP,2587134,R
alvared01,2024,1,NYN,NL,0,0,1,0,0,0,0,3,1,0,0,0,1,0.25,0.0,0.0,0,1.0,0,5.0,1,0,0.0,0.0,0.0,4.1,84.38204728694848,RP,6104731,R
alvarjo03,2024,1,PHI,NL,2,5,66,0,0,0,13,185,49,28,6,28,63,0.215,4.09,1.0,4,1.0,0,258.0,21,30,0.0,1.0,5.0,3.7324324324324323,76.81714390459847,RP,1308473,L
alzolad01,2024,1,CHN,NL,1,4,18,0,0,0,4,52,19,9,6,6,13,0.279,4.67,0.0,0,1.0,0,75.0,11,13,0.0,0.0,1.0,7.311538461538461,150.47867907362954,RP,1854087,R
anderch01,2024,1,BOS,AL,0,2,27,1,0,0,3,156,46,28,10,19,35,0.231,4.85,1.0,2,3.0,0,224.0,22,34,1.0,2.0,1.0,5.523076923076923,113.67037514451972,RP,5926416,R
anderch01,2024,2,TEX,AL,0,0,2,0,0,0,0,19,9,7,2,2,7,0.321,9.95,0.0,1,1.0,0,31.0,1,7,0.0,0.0,0.0,6.41578947368421,132.04328067110424,RP,3499094,R
andergr01,2024,1,TEX,AL,0,1,23,0,0,0,1,80,33,24,11,10,29,0.303,8.1,3.0,0,1.0,0,120.0,10,24,0.0,0.0,4.0,7.525,154.87192825226523,RP,5900103,R
anderju01,2024,1,CHA,AL,1,2,56,0,0,0,1,160,48,26,5,32,57,0.234,4.39,1.0,1,3.0,0,242.0,14,29,1.0,1.0,3.0,4.15,85.41109664410642,RP,4061612,R
anderni01,2024,1,KCA,AL,3,1,37,0,0,0,1,107,35,16,6,15,29,0.259,4.04,1.0,1,1.0,0,153.0,19,17,0.0,2.0,3.0,5.006542056074767,103.03957768775544,RP,9667622,R
andersh01,2024,2,MIA,NL,0,2,4,2,0,0,0,39,28,13,3,0,7,0.424,9.0,0.0,2,1.0,0,68.0,2,17,0.0,1.0,1.0,5.253846153846154,108.12934014443869,RP,9729864,R
andersh01,2024,1,TEX,AL,0,0,2,0,0,0,0,10,6,2,0,1,3,0.375,5.4,0.0,0,0.0,0,17.0,1,2,0.0,0.0,0.0,2.2,45.27817171494798,RP,5789376,R
anderty01,2024,1,LAA,AL,10,15,31,31,0,0,0,538,158,76,24,73,142,0.232,3.81,2.0,3,7.0,1,765.0,0,83,0.0,4.0,6.0,4.594423791821561,94.55777698969956,SP,9378743,L
andrecl02,2024,1,NYA,AL,0,0,1,0,0,0,0,1,1,1,1,0,1,0.5,27.0,0.0,0,1.0,0,3.0,0,1,0.0,0.0,0.0,45.1,928.2025201564335,RP,2177915,L
andrima01,2024,1,MIA,NL,0,1,4,0,0,0,0,18,7,4,2,1,7,0.28,6.0,1.0,0,0.0,0,26.0,4,5,0.0,0.0,0.0,5.6,115.25352800168575,RP,4468480,R
antonte01,2024,1,CIN,NL,0,0,4,0,0,0,0,6,2,1,0,4,2,0.286,4.5,0.0,0,0.0,0,11.0,2,2,0.0,0.0,0.0,7.1,146.125008716423,RP,5170265,R
armstsh01,2024,3,CHN,NL,0,1,8,0,0,0,0,22,10,4,0,4,4,0.37,4.91,0.0,0,0.0,0,32.0,2,4,1.0,0.0,3.0,3.6454545454545455,75.02705313096752,RP,1376994,R
armstsh01,2024,2,SLN,NL,1,0,11,0,0,0,0,38,11,4,1,2,12,0.234,2.84,0.0,0,0.0,0,49.0,3,4,0.0,0.0,0.0,2.705263157894737,55.67698627149105,RP,8134292,R
armstsh01,2024,1,TBA,AL,2,2,38,7,0,0,1,140,56,28,5,19,50,0.292,5.4,0.0,1,2.0,1,214.0,4,30,0.0,1.0,2.0,3.7,76.14965242968523,RP,5820455,R
arrigsp01,2024,1,HOU,AL,7,13,29,28,0,0,0,435,139,73,21,65,171,0.25,4.53,0.0,3,7.0,0,632.0,0,80,0.0,3.0,5.0,4.113793103448276,84.66592297168172,SP,8832857,R
ashbyaa01,2024,1,MIL,NL,1,2,14,2,0,0,0,85,20,9,2,10,33,0.187,2.86,0.0,1,0.0,0,119.0,3,13,1.0,1.0,1.0,2.7470588235294118,56.537182328558025,RP,5336380,L
ashcrgr01,2024,1,CIN,NL,5,5,15,15,0,0,0,232,89,45,11,27,57,0.282,5.24,0.0,4,6.0,0,350.0,0,50,0.0,1.0,8.0,4.755172413793104,97.86614231177626,SP,6107953,R
assadja01,2024,1,CHN,NL,7,6,29,29,0,0,0,441,143,61,20,63,124,0.254,3.73,0.0,5,5.0,0,638.0,0,64,3.0,4.0,10.0,4.569387755102041,94.04251063985947,SP,5722136,R
avilani01,2024,1,SFN,NL,1,0,8,0,0,0,0,35,17,11,2,3,14,0.34,8.49,0.0,0,0.0,0,55.0,4,12,0.0,2.0,0.0,3.7,76.14965242968523,RP,4613095,R
avilape01,2024,2,CLE,AL,5,1,50,0,0,0,1,224,68,27,7,30,73,0.243,3.25,1.0,4,3.0,0,318.0,15,30,0.0,5.0,8.0,3.6892857142857145,75.92914185315139,RP,9454206,R
